run_index,run_name,changed_parameter,changed_value,mosaic,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
8,run_08_mosaic_0.5,mosaic,0.5,0.5,27,14753.7,0.68283,0.30444,0.01628,0.81666,0.78199,0.8297,0.69018,0.74522,0.89708,0.01717,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
9,run_09_mosaic_0.8,mosaic,0.8,0.8,1,728.773,1.16647,3.52169,0.02183,0.70807,0.59358,0.70819,0.55333,0.87621,1.40639,0.02077,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231
9,run_09_mosaic_0.8,mosaic,0.8,0.8,2,1327.44,1.17367,1.70698,0.02201,0.69927,0.68738,0.74675,0.60751,0.8157,1.16696,0.01886,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
9,run_09_mosaic_0.8,mosaic,0.8,0.8,3,1886.8,1.26954,1.61471,0.02384,0.67277,0.60309,0.66898,0.45112,1.30094,1.4667,0.033,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
9,run_09_mosaic_0.8,mosaic,0.8,0.8,4,2429.71,1.30677,1.5713,0.02468,0.67351,0.66966,0.73804,0.57563,0.91985,1.07634,0.0218,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,run_09_mosaic_0.8,mosaic,0.8,0.8,5,2964.67,1.23532,1.41728,0.02299,0.76584,0.72228,0.8062,0.64294,0.89105,1.00924,0.02084,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
9,run_09_mosaic_0.8,mosaic,0.8,0.8,6,3503.39,1.20339,1.30055,0.02217,0.76679,0.67879,0.8145,0.63917,0.85157,0.89051,0.02013,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
9,run_09_mosaic_0.8,mosaic,0.8,0.8,7,4041.84,1.16422,1.23056,0.02124,0.8413,0.68922,0.82316,0.6441,0.88825,0.89301,0.02118,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
9,run_09_mosaic_0.8,mosaic,0.8,0.8,8,4581.49,1.13795,1.15614,0.02084,0.75852,0.76966,0.80185,0.64279,0.81886,0.97834,0.01956,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,run_09_mosaic_0.8,mosaic,0.8,0.8,9,5125.3,1.11947,1.10532,0.02066,0.77525,0.77055,0.8314,0.67909,0.81314,0.82598,0.01925,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
